Class	Subsystem	Role	Reactions	Genes	AraCyc Cmpts	SUBA Cmpts	PPDB Cmpts	AraGEM Cmpts	Lit. Cmpts	Reference	Consensus location	Notes
Central Carbon	Glycolysis and Gluconeogenesis	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT1G53240	m	"c, d, m"	m	"d, m, x"		PMID:20876337	"c, d, m"	"SUBA: MS mito, plasma membrane and plastid; PPDB: curated and targetP: mito; Predotar and WolfPsort: mito: has target peptide"
Central Carbon	Glycolysis and Gluconeogenesis	Hexokinase (EC 2.7.1.1)	"rxn01169, rxn15121, rxn15249, rxn15435, rxn20176"	AT4G29130		m	m	c		PMID:17530285	"d, m"	"SUBA: GFP mito; MS: mito and plastid, 2 results plasma membrane and vacuole; PPDB: curated mito [PMID:17530285]; Has three intramembrane sections; Predotar: elsewhere; WolfPsort: chlo: 12, nucl: 1; Has signal peptide"
Central Carbon	Glycolysis and Gluconeogenesis	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT3G47520	d	"d, m"	"d, m"	"d, m, x"		"PMID:24453164
"	"d, m"	"SUBA: MS plastid majority, 3 results mito; PPDB: targetP chloroplast, curated location mito and plastid [PMID: 14671022; PMID:9774405]; Predotar and wolfPsort: plastid; No signal peptide"
Central Carbon	Glycolysis and Gluconeogenesis	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT3G15020	m	"d, m"	m	"d, m, x"		PMID:20876337	"d,m"	SUBA: MS mito and plastid; PPDB: curated and targetP mito; Predotar and WolfPsort: mito; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	"rxn26238, rxn37803"	AT3G10370	m	m	m				m	"SUBA: MS mito multiple results; PPDB: curated mito [PMID:14671022]; Predotar: mito, elsewhere, ER; WolfPsort:  mito: 5, E.R.: 3, chlo: 2, cyto: 2, plas: 1; Has signal peptide
"
Central Carbon	Glycolysis and Gluconeogenesis	Hexokinase (EC 2.7.1.1)	"rxn01169, rxn15121, rxn15249, rxn15435, rxn20176"	AT3G20040		m	m	c			m	"SUBA: GFP and MS mitochondrion; PPDB: proteome curated mito; Predotar: ER; WolfPsort: chlo: 12, cyto: 1; No signal peptide "
Central Carbon	Glycolysis and Gluconeogenesis	NAD-dependent malic enzyme (EC 1.1.1.38)	rxn00159	AT2G13560	m	m	m	"c, m"			m	SUBA: MS multiple data mito; PPDB:targetP and curated mito; Predotar and WolfPsort: mito; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	NAD-dependent malic enzyme (EC 1.1.1.38)	rxn00159	AT4G00570	m	m	m	"c, m"			m	"SUBA: MS multiple data mito; PPDB: targetP and curated mito; Predotar mito; WolfPsort:  mito: 7.5, chlo_mito: 7, chlo: 5.5. No signal peptide"
Central Carbon	Pentose phosphate pathway	"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"	"rxn01115, rxn11040"	AT5G41670		"d, m"	m	c			"d, m"	"SUBA: MS plastid and mito;  PPDB: Curated mito, not plastid in house experiments; and targetP secreted. Predotar: elsewhere and ER; WolfPsort: chlo: 9, cyto: 3, nucl: 1; No signal peptide"
Central Carbon	Acetyl-CoA biosynthesis	Aldehyde dehydrogenase (NAD+) (EC 1.2.1.3)		AT3G48000		"d, m"	m			PMID:11999848	"d, m"	"SUBA: MS mito multiple results; 2 results plastid; PPDB: curated and targetP: mito; Predotar: mito and elsewhere; WolfPsort: mito: 9.5, chlo_mito: 6, cyto: 3; No signal peptide"
