"PSI","Species A","Species B"
"0.10","Osativa_v7.0||LOC_Os08g24210.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.10","PWA54832.1","sp|Q9FPW3|DBBT_TAXCU"
"0.10","PWA54832.1","sp|Q9M6F0|T5AT_TAXCU"
"0.10","Smoellendorffii_v1.0||426708","sp|Q9M6E2|DBAT_TAXCU"
"0.10","Spolyrhiza_v2||Spipo6G0051300","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.10","sp|Q9FPW3|DBBT_TAXCU","PWA54832.1"
"0.10","sp|Q9M6E2|DBAT_TAXCU","Smoellendorffii_v1.0||426708"
"0.10","sp|Q9M6F0|T5AT_TAXCU","PWA54832.1"
"0.11","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.23","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.11","Osativa_v7.0||LOC_Os08g24210.1","sp|Q9FPW3|DBBT_TAXCU"
"0.11","Osativa_v7.0||LOC_Os08g24210.1","sp|Q9M6E2|DBAT_TAXCU"
"0.11","Osativa_v7.0||LOC_Os08g24210.1","sp|Q9M6F0|T5AT_TAXCU"
"0.11","Osativa_v7.0||LOC_Os11g42380.1","sp|Q8LL69|DBNBT_TAXCA"
"0.11","Osativa_v7.0||LOC_Os11g42380.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.11","Slycopersicum_ITAG3.2||Solyc08g005755.1.1","sp|Q8LL69|DBNBT_TAXCA"
"0.11","Slycopersicum_ITAG3.2||Solyc08g005755.1.1","sp|Q9FPW3|DBBT_TAXCU"
"0.11","Slycopersicum_ITAG3.2||Solyc08g005755.1.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.11","Spolyrhiza_v2||Spipo6G0051700","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.11","sp|Q8LL69|DBNBT_TAXCA","Osativa_v7.0||LOC_Os11g42380.1"
"0.11","sp|Q8LL69|DBNBT_TAXCA","Slycopersicum_ITAG3.2||Solyc08g005755.1.1"
"0.11","sp|Q9FPW3|DBBT_TAXCU","Osativa_v7.0||LOC_Os08g24210.1"
"0.11","sp|Q9FPW3|DBBT_TAXCU","Slycopersicum_ITAG3.2||Solyc08g005755.1.1"
"0.11","sp|Q9M6E2|DBAT_TAXCU","Osativa_v7.0||LOC_Os08g24210.1"
"0.11","sp|Q9M6F0|T5AT_TAXCU","Osativa_v7.0||LOC_Os08g24210.1"
"0.12","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.23","sp|Q9FPW3|DBBT_TAXCU"
"0.12","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.28","sp|Q9FPW3|DBBT_TAXCU"
"0.12","Osativa_v7.0||LOC_Os04g56900.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.12","Osativa_v7.0||LOC_Os11g42380.1","sp|Q9FPW3|DBBT_TAXCU"
"0.12","Osativa_v7.0||LOC_Os11g42380.1","sp|Q9M6E2|DBAT_TAXCU"
"0.12","PWA54832.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.12","Smoellendorffii_v1.0||426708","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.12","Spolyrhiza_v2||Spipo12G0047800","sp|Q9FPW3|DBBT_TAXCU"
"0.12","Spolyrhiza_v2||Spipo12G0047800","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.12","Spolyrhiza_v2||Spipo6G0051300","sp|Q9FPW3|DBBT_TAXCU"
"0.12","Zmays_RefGen_V4||Zm00001d030540_T001","sp|Q9FPW3|DBBT_TAXCU"
"0.12","Zmays_RefGen_V4||Zm00001d030540_T001","sp|Q9M6E2|DBAT_TAXCU"
"0.12","Zmays_RefGen_V4||Zm00001d030540_T001","tr|Q8H2B5|Q8H2B5_TAXCU"
